Name,Type,Score
sony xq-bc52,android,0.0919859784842258
lenovo l70081,android,0.09168379064426448
intel core i7-3770k @ 3.50ghz,desktop,0.09151590851095263
oneplus cph2493,android,0.09144875565762789
samsung sm-f926w,android,0.09143532508696295
samsung sm-g996b,android,0.09140846394563305
intel core i7-3770 @ 3.40ghz,desktop,0.09138160280430316
vivo v2045,android,0.09092496340169494
samsung sm-g998b,android,0.09050190042574908
xiaomi m2012k11i,android,0.09034073357776971
vivo i2009,android,0.09024000429778262
samsung sm-g998u1,android,0.09013255973246304
oneplus cph2423,android,0.0900116845964785
samsung sm-s906b,android,0.08986394831916408
samsung galaxy s21 5g (exynos),android,0.0897296426125146
xiaomi 2201122g,android,0.08954832990853781
samsung galaxy s21 5g (snapdragon),android,0.08948117705521308
huawei dby-w09,android,0.08914541278858938
oneplus cph2487,android,0.08897753065527754
oneplus 9 pro,android,0.08895738479928011
amd ryzen 5 3400g,desktop,0.08895066951394764
sony xq-be52,android,0.08888351666062291
samsung sm-f711b,android,0.0888365096632956
motorola moto g200 5g,android,0.08866862752998375
samsung sm-g996u1,android,0.08854103710866675
motorola razr plus 2023,android,0.0885276065380018
intel core i7-6820hq @ 2.70ghz,laptop,0.0885276065380018
oneplus 9,android,0.08848731482600695
intel core i7-10510u @ 1.80ghz,laptop,0.08846045368467706
samsung sm-g998u,android,0.08841344668734974
sony xq-bc72,android,0.0883731549753549
asus asus_i006d,android,0.08829257155136522
xiaomi 2201123g,android,0.08819184227137811
samsung sm-f926b,android,0.08809782827672348
samsung sm-f926u1,android,0.08809111299139101
lenovo yt-k606f,android,0.08779564043676216
nubia nx669j,android,0.08774191815410237
vivo iqoo 3 5g,android,0.08772848758343742
vivo i2202,android,0.08770162644210752
samsung sm-g998w,android,0.087453160884806
samsung sm-f711u,android,0.08744644559947352
samsung galaxy note 10 5g (exynos),android,0.08743973031414105
sony sog02,android,0.08718454947150704
xiaomi m2012k11c,android,0.08711068133284983
vivo i2012,android,0.08694279919953798
oneplus le2100,android,0.08684206991955089
motorola xt2153-1,android,0.08680849349288851
samsung sm-g996u,android,0.0867346253542313
samsung sm-f926u,android,0.08670776421290141
lenovo tb371fc,android,0.0866338960742442
