Country,Rank,Fixed downlink,Fixed uplink,Fixed latency,Fixed jitter,Mobile downlink,Mobile uplink,Mobile latency,Mobile jitter
Dominican Republic,120,35.19,15.98,7.0,4.0,28.65,9.86,23.0,11.0
Laos,121,34.49,32.92,6.0,3.0,25.76,13.58,25.0,9.0
Iraq,122,34.17,29.45,7.0,4.0,30.35,14.6,19.0,7.0
Bolivia,123,33.56,15.15,10.0,4.0,9.76,9.0,25.0,11.0
Togo,124,31.83,7.37,7.0,9.0,45.72,8.64,18.0,6.0
Bosnia and Herzegovina,125,31.41,8.07,10.0,4.0,25.68,12.09,24.0,7.0
Seychelles,126,30.87,23.19,4.0,2.0,,,,
Rwanda,127,30.44,9.58,17.0,11.0,21.14,7.85,22.0,9.0
Indonesia,128,29.37,18.04,7.0,4.0,25.83,12.54,26.0,11.0
Morocco,129,28.75,24.55,13.0,7.0,42.19,11.95,24.0,9.0
Western Sahara,130,27.5,22.16,31.0,9.0,,,,
Georgia,131,26.87,29.07,4.0,3.0,38.1,14.35,22.0,11.0
Lesotho,132,26.49,15.5,12.0,8.0,,,,
Tajikistan,133,26.42,26.0,4.0,4.0,8.51,5.84,24.0,13.0
Benin,134,25.04,9.61,4.0,3.0,28.52,12.53,22.0,8.0
Malawi,135,22.48,6.59,295.0,19.0,,,,
Mauritania,136,21.88,12.86,10.0,14.0,,,,
Mali,137,21.71,4.61,7.0,8.0,,,,
Sri Lanka,138,21.6,6.95,17.0,8.0,19.1,7.07,21.0,9.0
Nigeria,139,21.38,13.65,23.0,14.0,26.67,11.54,29.0,11.0
Zambia,140,21.36,6.12,325.0,23.0,21.44,8.16,32.0,12.0
Sierra Leone,141,21.2,12.32,5.0,5.0,,,,
Senegal,142,21.1,6.36,6.0,4.0,33.78,11.61,19.0,8.0
Myanmar (Burma),143,20.61,19.81,6.0,4.0,25.83,11.91,25.0,8.0
Angola,144,20.51,6.58,5.0,6.0,16.66,9.03,27.0,11.0
Tanzania,145,19.33,11.51,18.0,11.0,25.18,11.38,25.0,8.0
Swaziland,146,17.75,9.46,38.0,17.0,,,,
Fiji,147,17.46,9.71,18.0,8.0,23.67,10.22,22.0,9.0
Djibouti,148,17.43,6.35,14.0,5.0,,,,
Somalia,149,15.46,13.9,18.0,8.0,20.61,9.8,21.0,9.0
Cape Verde,150,15.24,11.05,11.0,10.0,,,,
Micronesia,151,15.23,5.02,16.0,5.0,,,,
Zimbabwe,152,14.7,13.23,14.0,14.0,32.92,14.46,28.0,11.0
Pakistan,153,14.43,13.95,6.0,6.0,18.18,8.72,25.0,11.0
Mozambique,154,14.06,7.0,28.0,13.0,18.07,14.12,27.0,11.0
Uganda,155,14.04,14.8,8.0,10.0,27.81,11.29,21.0,9.0
Iran,156,13.78,3.51,29.0,12.0,36.16,9.94,30.0,11.0
Algeria,157,13.63,3.26,19.0,8.0,25.19,12.19,28.0,10.0
Bhutan,158,13.53,21.75,5.0,2.0,,,,
Vanuatu,159,13.29,9.36,41.0,10.0,,,,
Namibia,160,13.0,9.06,20.0,9.0,23.01,10.09,27.0,10.0
Sudan,161,12.71,9.03,116.0,26.0,10.21,6.45,63.0,58.0
Lebanon,162,12.49,8.8,12.0,11.0,35.58,9.8,23.0,8.0
Libya,163,12.38,7.38,24.0,19.0,17.55,7.6,25.0,9.0
Papua New Guinea,164,12.08,7.57,41.0,14.0,18.62,12.06,43.0,13.0
Suriname,165,11.66,5.95,19.0,6.0,45.32,20.15,18.0,6.0
Maldives,166,11.58,11.18,7.0,4.0,85.94,20.47,18.0,6.0
Kenya,167,11.17,12.43,11.0,9.0,24.12,9.87,28.0,10.0
Guinea,168,9.66,4.91,9.0,15.0,,,,
Liberia,169,9.32,7.74,15.0,13.0,,,,
Tunisia,170,9.29,2.39,26.0,16.0,25.94,13.84,21.0,8.0
Cameroon,171,9.12,3.25,175.0,32.0,16.3,7.15,55.0,13.0
Ethiopia,172,8.88,7.7,18.0,8.0,32.78,16.74,35.0,10.0
Botswana,173,8.84,7.63,24.0,16.0,42.54,13.14,25.0,8.0
Yemen,174,7.39,2.22,36.0,24.0,5.32,7.08,35.0,29.0
Niger,175,7.24,5.78,26.0,32.0,,,,
Turkmenistan,176,7.21,7.21,85.0,21.0,,,,
East Timor,177,6.34,8.6,5.0,7.0,5.16,3.32,18.0,12.0
Burundi,178,6.04,6.12,20.0,33.0,,,,
The Gambia,179,5.66,4.59,25.0,76.0,,,,
Syria,180,4.05,9.88,15.0,20.0,13.24,3.02,28.0,36.0
Afghanistan,181,3.4,2.33,23.0,25.0,5.8,2.33,30.0,10.0
Cuba,182,2.92,1.03,103.0,28.0,4.01,3.5,126.0,42.0
